Customer Key,Customer Name,Trader,Responsibility Center,Status,Date of Addition
C-01,Customer 1,Trader28,RC28,Open,45695
C-10,Customer 10,Trader99,RC99,Canvassing,45282
C-100,Customer 100,Trader20,RC20,Canvassing,45419
C-1000,Customer 1000,Trader38,RC38,Active,45372
C-1001,Customer 1001,Trader99,RC99,Canvassing,45103
C-1002,Customer 1002,Trader46,RC46,Canvassing,45098
C-1003,Customer 1003,Trader6,RC6,Canvassing,45419
C-1004,Customer 1004,Trader29,RC29,Canvassing,45510
C-1005,Customer 1005,Trader65,RC65,Open,44927
C-1006,Customer 1006,Trader65,RC65,Open,44927
C-1007,Customer 1007,Trader26,RC26,Active,45097
C-1008,Customer 1008,Trader38,RC38,Open,45695
C-1009,Customer 1009,Trader99,RC99,Open,44927
C-101,Customer 101,Trader99,RC99,Canvassing,45419
C-1010,Customer 1010,Trader17,RC17,Canvassing,45282
C-1011,Customer 1011,Trader99,RC99,Canvassing,45282
C-1012,Customer 1012,Trader17,RC17,Canvassing,45510
C-1013,Customer 1013,Trader99,RC99,Blacklisted,45282
C-1014,Customer 1014,Trader99,RC99,Blacklisted,45103
C-1015,Customer 1015,Trader26,RC26,Open,44927
C-1016,Customer 1016,Trader99,RC99,Active,45376
C-1017,Customer 1017,Trader19,RC19,Active,45539
C-1018,Customer 1018,Trader99,RC99,Open,44927
C-1019,Customer 1019,Trader26,RC26,Open,45720
C-102,Customer 102,Trader99,RC99,Canvassing,45419
C-1020,Customer 1020,Trader26,RC26,Open,44927
C-1021,Customer 1021,Trader99,RC99,Blacklisted,45097
C-1022,Customer 1022,Trader99,RC99,Canvassing,45097
C-1023,Customer 1023,Trader99,RC99,Canvassing,45419
C-1024,Customer 1024,Trader17,RC17,Open,45720
C-1025,Customer 1025,Trader42,RC42,Canvassing,45282
C-1026,Customer 1026,Trader40,RC40,Active,45505
C-1027,Customer 1027,Trader99,RC99,Blacklisted,45097
C-1028,Customer 1028,Trader72,RC72,Canvassing,45097
C-1029,Customer 1029,Trader38,RC38,Canvassing,45098
C-103,Customer 103,Trader6,RC6,Canvassing,45380
C-1030,Customer 1030,Trader82,RC82,Active,45097
C-1031,Customer 1031,Trader51,RC51,Open,45720
C-1032,Customer 1032,Trader99,RC99,Open,45720
C-1033,Customer 1033,Trader99,RC99,Open,44927
C-1034,Customer 1034,Trader41,RC41,Canvassing,45419
C-1035,Customer 1035,Trader60,RC60,Active,45372
C-1036,Customer 1036,Trader99,RC99,Open,45694
C-1037,Customer 1037,Trader27,RC27,Open,45691
C-1038,Customer 1038,Trader99,RC99,Canvassing,45419
C-1039,Customer 1039,Trader99,RC99,Canvassing,45097
C-104,Customer 104,Trader99,RC99,Open,45691
C-1040,Customer 1040,Trader72,RC72,Canvassing,45282
C-1041,Customer 1041,Trader65,RC65,Active,45063
C-1042,Customer 1042,Trader26,RC26,Canvassing,45327
C-1043,Customer 1043,Trader99,RC99,Active,45285
C-1044,Customer 1044,Trader41,RC41,Open,44927
C-1045,Customer 1045,Trader99,RC99,Active,45376
C-1046,Customer 1046,Trader58,RC58,Open,44927
C-1047,Customer 1047,Trader32,RC32,Open,45720
C-1048,Customer 1048,Trader46,RC46,Canvassing,45419
C-1049,Customer 1049,Trader30,RC30,Open,44927
C-105,Customer 105,Trader99,RC99,Canvassing,45419
C-1050,Customer 1050,Trader99,RC99,Blacklisted,45063
C-1051,Customer 1051,Trader99,RC99,Canvassing,45419
C-1052,Customer 1052,Trader20,RC20,Canvassing,45134
C-1053,Customer 1053,Trader65,RC65,Open,44927
C-1054,Customer 1054,Trader58,RC58,Canvassing,45063
C-1055,Customer 1055,Trader99,RC99,Canvassing,45419
C-1056,Customer 1056,Trader99,RC99,Blacklisted,45419
C-1057,Customer 1057,Trader58,RC58,Open,44927
C-1058,Customer 1058,Trader58,RC58,Open,44927
C-1059,Customer 1059,Trader20,RC20,Active,45103
C-106,Customer 106,Trader71,RC71,Canvassing,45419
C-1060,Customer 1060,Trader99,RC99,Canvassing,45282
C-1061,Customer 1061,Trader17,RC17,Canvassing,45510
C-1062,Customer 1062,Trader13,RC13,Canvassing,45419
C-1063,Customer 1063,Trader3,RC3,Open,44927
C-1064,Customer 1064,Trader5,RC5,Active,45419
C-1065,Customer 1065,Trader5,RC5,Canvassing,45419
C-1066,Customer 1066,Trader17,RC17,Open,44927
C-1067,Customer 1067,Trader30,RC30,Open,44927
C-1068,Customer 1068,Trader52,RC52,Active,45371
C-1069,Customer 1069,Trader58,RC58,Active,45282
C-107,Customer 107,Trader99,RC99,Canvassing,45097
C-1070,Customer 1070,Trader99,RC99,Blacklisted,45377
C-1071,Customer 1071,Trader20,RC20,Active,45282
C-1072,Customer 1072,Trader27,RC27,Open,44927
C-1073,Customer 1073,Trader30,RC30,Active,45097
C-1074,Customer 1074,Trader30,RC30,Open,44927
C-1075,Customer 1075,Trader58,RC58,Active,45604
C-1076,Customer 1076,Trader38,RC38,Open,45686
C-1077,Customer 1077,Trader17,RC17,Open,44927
C-1078,Customer 1078,Trader17,RC17,Open,44927
C-1079,Customer 1079,Trader80,RC80,Active,45540
C-108,Customer 108,Trader20,RC20,Canvassing,45419
C-1080,Customer 1080,Trader17,RC17,Canvassing,45282
C-1081,Customer 1081,Trader99,RC99,Canvassing,45381
C-1082,Customer 1082,Trader29,RC29,Canvassing,45419
C-1083,Customer 1083,Trader30,RC30,Open,44927
C-1084,Customer 1084,Trader80,RC80,Active,45372
C-1085,Customer 1085,Trader41,RC41,Canvassing,45419
C-1086,Customer 1086,Trader5,RC5,Active,45426
C-1087,Customer 1087,Trader20,RC20,Canvassing,45419
C-1088,Customer 1088,Trader58,RC58,Canvassing,45282
C-1089,Customer 1089,Trader30,RC30,Active,45063
C-109,Customer 109,Trader26,RC26,Canvassing,45282
C-1090,Customer 1090,Trader46,RC46,Canvassing,45334
