Status,Deal Type,Enquiry No.,Team Name,Trader PIC,Deal No.,Deal Date,Volume,Customer Key,Customer Name
Completed,Bunker,ENQ01328,Team99,Trader65,DEAL05930,12/31/2025,152,C-83,Customer 83
Completed,Bunker,ENQ21524,Team4,Trader5,DEAL01812,12/31/2025,559.625,C-344,Customer 344
Completed,Bunker,ENQ01274,Team5,Trader42,DEAL07260,12/31/2025,152,C-1294,Customer 1294
Completed,Bunker,ENQ20313,Team7,Trader55,DEAL05248,12/31/2025,239.56,C-1090,Customer 1090
Completed,Bunker,ENQ00512,Team7,Trader62,DEAL04328,12/31/2025,272.125,C-1034,Customer 1034
Completed,Bunker,ENQ21323,Team1,Trader53,DEAL00863,12/30/2025,92.611,C-803,Customer 803
Completed,Bunker,ENQ19955,Team1,Trader58,DEAL01046,12/30/2025,44,C-687,Customer 687
Completed,Bunker,ENQ08320,Team8,Trader36,DEAL02733,12/30/2025,291,C-357,Customer 357
Completed,Bunker,ENQ00715,Team4,Trader26,DEAL07078,12/30/2025,65,C-1932,Customer 1932
Completed,Bunker,ENQ13737,Team99,Trader51,DEAL06516,12/29/2025,18,C-971,Customer 971
Completed,Bunker,ENQ08806,Team10,Trader44,DEAL02408,12/29/2025,153,C-880,Customer 880
Completed,Bunker,ENQ21306,Team99,Trader65,DEAL00844,12/29/2025,112,C-838,Customer 838
Completed,Bunker,ENQ12316,Team99,Trader25,DEAL02778,12/29/2025,242.082,C-777,Customer 777
Completed,Bunker,ENQ21159,Team1,Trader58,DEAL00688,12/29/2025,99,C-687,Customer 687
Completed,Bunker,ENQ20278,Team7,Trader55,DEAL04641,12/29/2025,167,C-530,Customer 530
Completed,Bunker,ENQ09388,Team4,Trader49,DEAL06015,12/29/2025,167.973,C-1781,Customer 1781
Completed,Bunker,ENQ10939,Team2,Trader38,DEAL08361,12/29/2025,329,C-1648,Customer 1648
Completed,Physical,ENQ02453,Team1,Trader71,DEAL08285,12/29/2025,95,C-106,Customer 106
Invoice Sent,Bunker,ENQ11900,Team2,Trader38,DEAL08831,12/28/2025,119.625,C-941,Customer 941
Completed,Bunker,ENQ17057,Team4,Trader5,DEAL01061,12/28/2025,534,C-676,Customer 676
Completed,Bunker,ENQ20348,Team4,Trader5,DEAL06569,12/28/2025,59,C-676,Customer 676
Completed,Bunker,ENQ21083,Team8,Trader36,DEAL00606,12/28/2025,71,C-232,Customer 232
Completed,Bunker,ENQ20525,Team10,Trader44,DEAL00027,12/28/2025,1160.5,C-231,Customer 231
Completed,Bunker,ENQ13568,Team10,Trader44,DEAL02788,12/28/2025,272.125,C-1170,Customer 1170
Completed,Bunker,ENQ12648,Team4,Trader26,DEAL07290,12/28/2025,660.714,C-1122,Customer 1122
Completed,Bunker,ENQ03069,Team1,Trader58,DEAL02394,12/28/2025,54,C-1046,Customer 1046
Completed,Bunker,ENQ00044,Team4,Trader5,DEAL06888,12/27/2025,533.275,C-676,Customer 676
Completed,Bunker,ENQ19146,Team8,Trader36,DEAL04608,12/27/2025,60,C-242,Customer 242
Completed,Bunker,ENQ20984,Team8,Trader36,DEAL00500,12/27/2025,111,C-204,Customer 204
Completed,Bunker,ENQ20112,Team7,Trader55,DEAL02796,12/27/2025,231.898,C-1406,Customer 1406
Completed,Bunker,ENQ14942,Team4,Trader21,DEAL03509,12/27/2025,101,C-1317,Customer 1317
Completed,Bunker,ENQ18288,Team8,Trader52,DEAL04898,12/27/2025,100,C-1186,Customer 1186
Completed,Bunker,ENQ21228,Team1,Trader15,DEAL00760,12/26/2025,76,C-811,Customer 811
Completed,Physical,ENQ16275,Team1,Trader71,DEAL06886,12/26/2025,75,C-759,Customer 759
Completed,Bunker,ENQ05971,Team4,Trader5,DEAL06535,12/26/2025,55,C-676,Customer 676
Completed,Bunker,ENQ20654,Team8,Trader36,DEAL00157,12/26/2025,1505.625,C-207,Customer 207
Completed,Bunker,ENQ13254,Team8,Trader52,DEAL07104,12/26/2025,84,C-1854,Customer 1854
Completed,Bunker,ENQ19604,Team2,Trader40,DEAL06362,12/26/2025,30.874,C-1596,Customer 1596
Completed,Bunker,ENQ01341,Team7,Trader55,DEAL04028,12/26/2025,112.43,C-1406,Customer 1406
Completed,Bunker,ENQ14377,Team4,Trader18,DEAL04747,12/26/2025,361,C-1344,Customer 1344
Completed,Bunker,ENQ01620,Team4,Trader5,DEAL04569,12/26/2025,93.036,C-1150,Customer 1150
Completed,Bunker,ENQ16769,Team1,Trader58,DEAL03112,12/25/2025,94,C-687,Customer 687
Completed,Bunker,ENQ16573,Team1,Trader71,DEAL03516,12/25/2025,892,C-352,Customer 352
Completed,Bunker,ENQ16026,Team99,Trader51,DEAL05863,12/25/2025,658.449,C-1681,Customer 1681
Completed,Bunker,ENQ07828,Team1,Trader71,DEAL07392,12/25/2025,100,C-1348,Customer 1348
Invoice Sent,Bunker,ENQ15444,Team1,Trader28,DEAL08816,12/25/2025,97.29,C-1255,Customer 1255
Completed,Bunker,ENQ18524,Team2,Trader40,DEAL08023,12/25/2025,73,C-1175,Customer 1175
Completed,Bunker,ENQ16044,Team1,Trader58,DEAL06442,12/24/2025,21,C-727,Customer 727
Completed,Trade-H,ENQ20470,Team10,Trader44,DEAL02033,12/24/2025,31,C-618,Customer 618
Completed,Bunker,ENQ13543,Team8,Trader52,DEAL07799,12/24/2025,100,C-2083,Customer 2083
Completed,Bunker,ENQ09116,Team8,Trader36,DEAL01637,12/24/2025,792.318,C-207,Customer 207
Completed,Bunker,ENQ06534,Team99,Trader48,DEAL03360,12/24/2025,568.558,C-1169,Customer 1169
Cancelled,Others,ENQ13623,Team1,Trader53,DEAL03147,12/23/2025,11,C-813,Customer 813
Completed,Bunker,ENQ06629,Team1,Trader58,DEAL08331,12/23/2025,25,C-727,Customer 727
Completed,Bunker,ENQ18051,Team99,Trader48,DEAL05422,12/23/2025,680.93,C-714,Customer 714
Completed,Bunker,ENQ06625,Team8,Trader36,DEAL02896,12/23/2025,262,C-1114,Customer 1114
Completed,Bunker,ENQ14448,Team8,Trader36,DEAL03467,12/22/2025,371,C-728,Customer 728
