Deal No.,Status,Deal Created,Enquiry Date,Trader,Responsibility Center,Customer Key,Customer Name
ENQ00004,Lost,FALSE,4/4/2024,Trader71,RC71,C-232,Customer 232
ENQ00006,Lost,FALSE,12/8/2025,Trader71,RC71,C-1276,Customer 1276
ENQ00007,Lost,FALSE,4/23/2023,Trader52,RC52,C-1222,Customer 1222
ENQ00002,Lost,FALSE,8/25/2020,Trader48,RC48,C-05,Customer 5
ENQ00009,Fixed,TRUE,5/26/2025,Trader44,RC44,C-1127,Customer 1127
ENQ00001,Lost,FALSE,6/9/2021,Trader4,RC4,C-604,Customer 604
ENQ00008,Lost,FALSE,1/15/2024,Trader36,RC36,C-1180,Customer 1180
ENQ00003,Fixed,TRUE,11/13/2021,Trader26,RC26,C-369,Customer 369
ENQ00005,Lost,FALSE,10/21/2023,Trader20,RC20,C-1310,Customer 1310
ENQ00013,Lost,FALSE,11/21/2025,Trader7,RC7,C-1537,Customer 1537
ENQ00012,Fixed,TRUE,1/29/2023,Trader65,RC65,C-83,Customer 83
ENQ00011,Fixed,TRUE,12/23/2025,Trader5,RC5,C-839,Customer 839
ENQ00014,Lost,FALSE,8/19/2020,Trader4,RC4,C-1013,Customer 1013
ENQ00010,Lost,FALSE,2/18/2021,Trader17,RC17,C-891,Customer 891
ENQ00018,Lost,FALSE,1/22/2024,Trader8,RC8,C-421,Customer 421
ENQ00021,Lost,FALSE,7/13/2025,Trader65,RC65,C-1370,Customer 1370
ENQ00016,Fixed,TRUE,12/9/2024,Trader5,RC5,C-676,Customer 676
ENQ00020,Fixed,TRUE,11/12/2020,Trader5,RC5,C-1626,Customer 1626
ENQ00022,Fixed,TRUE,7/8/2024,Trader5,RC5,C-1150,Customer 1150
ENQ00019,Lost,FALSE,7/21/2022,Trader42,RC42,C-1660,Customer 1660
ENQ00017,Lost,FALSE,10/7/2024,Trader36,RC36,C-432,Customer 432
ENQ00015,Fixed,TRUE,12/28/2025,Trader25,RC25,C-777,Customer 777
ENQ00023,Fixed,TRUE,11/7/2024,Trader65,RC65,C-83,Customer 83
ENQ00024,Lost,FALSE,2/23/2023,Trader58,RC58,C-687,Customer 687
ENQ00028,Lost,FALSE,5/9/2023,Trader51,RC51,C-1781,Customer 1781
ENQ00030,Fixed,TRUE,10/22/2022,Trader41,RC41,C-1004,Customer 1004
ENQ00027,Lost,FALSE,12/20/2021,Trader36,RC36,C-207,Customer 207
ENQ00029,Lost,FALSE,12/25/2020,Trader29,RC29,C-1079,Customer 1079
